ticker,index,total_reward,buy_pct,top_day,top_shap
AAPL,DJIA,0.2507981,48.09,day_t-26,0.026526
ADANIPORTS.BO,SENSEX,0.057784796,93.91,day_t-17,0.043328
AMGN,DJIA,0.15962332,62.13,day_t-11,0.066023
AMZN,DJIA,-0.114548326,13.19,day_t-8,0.031053
ASIANPAINT.BO,SENSEX,0.123170614,53.48,day_t-18,0.032597
AXISBANK.BO,SENSEX,-0.066165745,4.35,day_t-4,0.01122
AXP,DJIA,0.1439985,72.77,day_t-29,0.027271
BA,DJIA,-0.16036582,51.06,day_t-5,0.045194
BAJAJ-AUTO.BO,SENSEX,-0.007822275,61.3,day_t-25,0.02813
BAJAJFINSV.BO,SENSEX,-0.0070317984,58.62,day_t-26,0.057203
BAJFINANCE.BO,SENSEX,0.0,100.0,day_t-30,0.0
BHARTIARTL.BO,SENSEX,0.13032502,44.78,day_t-9,0.054384
CAT,DJIA,0.13893044,48.94,day_t-29,0.035467
CRM,DJIA,-0.33975428,79.15,day_t-1,0.01598
CSCO,DJIA,0.118316054,74.47,day_t-28,0.056059
CVX,DJIA,0.03496504,17.02,day_t-23,0.044941
DIS,DJIA,-0.15007824,93.62,day_t-18,0.022681
GS,DJIA,0.0041110516,76.17,day_t-15,0.042884
HCLTECH.BO,SENSEX,-0.16799784,75.65,day_t-18,0.037676
HD,DJIA,0.0907948,60.85,day_t-30,0.049311
HDFCBANK.BO,SENSEX,-0.029760659,98.28,day_t-16,0.004538
HINDUNILVR.BO,SENSEX,-0.07742369,29.57,day_t-20,0.045967
HON,DJIA,-0.036486387,45.96,day_t-16,0.067457
IBM,DJIA,-0.07189846,55.32,day_t-15,0.036817
ICICIBANK.BO,SENSEX,0.16971993,97.39,day_t-14,0.012039
INDUSINDBK.BO,SENSEX,-0.19594777,16.96,day_t-29,0.03027
INFY.BO,SENSEX,0.05414152,3.04,day_t-7,0.011714
ITC.BO,SENSEX,0.22645539,87.83,day_t-2,0.042347
JNJ,DJIA,-0.011550963,5.53,day_t-8,0.012679
JPM,DJIA,-0.18733227,79.57,day_t-8,0.040485
KO,DJIA,-0.013430715,45.96,day_t-27,0.056582
KOTAKBANK.BO,SENSEX,0.046628,79.74,day_t-6,0.025223
LT.BO,SENSEX,0.33583117,83.91,day_t-1,0.052459
M&M.BO,SENSEX,0.07524216,16.09,day_t-29,0.024722
MARUTI.BO,SENSEX,0.046347618,14.35,day_t-27,0.015089
MCD,DJIA,0.14886105,84.68,day_t-24,0.041576
MMM,DJIA,-0.087911546,40.85,day_t-22,0.055329
MRK,DJIA,0.22020376,81.28,day_t-30,0.046568
MSFT,DJIA,0.23138452,28.09,day_t-3,0.030625
NESTLEIND.BO,SENSEX,0.15845549,21.98,day_t-10,0.050878
NKE,DJIA,-0.39667326,85.11,day_t-17,0.038511
NTPC.BO,SENSEX,0.19944894,89.57,day_t-10,0.029201
NVDA,DJIA,-0.042744398,43.83,day_t-18,0.018324
ONGC.BO,SENSEX,-0.116398096,79.13,day_t-14,0.123128
PG,DJIA,0.077591896,49.79,day_t-28,0.048789
POWERGRID.BO,SENSEX,0.40163577,80.6,day_t-4,0.038314
RELIANCE.BO,SENSEX,0.12261218,38.36,day_t-8,0.050116
SBIN.BO,SENSEX,7.390976e-05,42.17,day_t-19,0.03726
SHW,DJIA,-0.05460006,61.28,day_t-18,0.029733
SUNPHARMA.BO,SENSEX,0.08508682,25.65,day_t-13,0.029446
TATASTEEL.BO,SENSEX,0.6657611,78.45,day_t-30,0.029583
TCS.BO,SENSEX,0.023700655,2.61,day_t-7,0.019063
TECHM.BO,SENSEX,0.35372174,81.3,day_t-30,0.021468
TITAN.BO,SENSEX,0.14672172,26.52,day_t-5,0.029895
TRV,DJIA,-0.045505226,60.0,day_t-7,0.057707
ULTRACEMCO.BO,SENSEX,-0.13166481,61.74,day_t-21,0.047453
UNH,DJIA,0.21696806,17.45,day_t-30,0.034228
V,DJIA,0.22514582,26.81,day_t-11,0.036667
VZ,DJIA,0.012818277,80.43,day_t-13,0.05514
WMT,DJIA,-0.19525534,44.68,day_t-1,0.029948
